Sites,Acessos (Março),Idioma do site,Tempo médio,Acessos Unicos,% de Acessos 18-24,% de Acessos 25-34,% de Acessos 35-44,% de Acessos 45-54 (%),% de Acessos 55-64 (%),% de Acessos 65+ (%),Acessos Idades 18-24 ,Acessos Idades 25-34,Acessos Idades 35-44,Acessos Idades 45-54 ,Acessos Idades 55-64,Acessos Idade 65+
Animesonlinebr.net,534.451,Português,00:05:56,"235,679","0,41","0,33","0,15","0,07","0,04","0,02","219.124,91","174.284,47","77.602,29","35.647,88","18.759,23","9.032,22"
Aniflv.net,515.465,Português,00:03:28,"231,963","0,43","0,34","0,13","0,06","0,03","0,01","223.196,35","176.031,30","65.927,97","28.350,58","15.360,86","6.597,95"
Animesorion.com,410.304,Português,00:06:15,"95,785","0,41","0,36","0,13","0,06","0,03","0,01","167.609,18","146.273,38","54.406,31","23.797,63","13.129,73","5.087,77"
Animesorionvip.com,362.713,Português,00:11:50,"50,527","0,38","0,32","0,16","0,08","0,05","0,02","136.525,17","115.705,45","58.904,59","28.255,34","16.358,36","6.964,09"
Animesbrasil.org,350.100,Português,00:26:23,"134,923","0,42","0,34","0,13","0,06","0,03","0,01","146.516,85","118.718,91","46.878,39","21.566,16","11.553,30","4.866,39"
Animeq.xyz,286.500,Português,00:09:16,"36,892","0,38","0,35","0,15","0,07","0,04","0,02","109.357,05","99.014,40","42.602,55","19.854,45","10.887,00","4.784,55"
Goanimes.net,276.136,Português,00:13:23,"23,516","0,35","0,33","0,16","0,08","0,05","0,03","96.122,94","91.097,27","44.319,83","22.698,38","14.828,50","7.069,08"
Centralanimestk.net,169.505,Português,00:06:35,"33,288","0,28","0,33","0,17","0,11","0,07","0,03","47.969,92","56.123,11","29.154,86","18.153,99","12.441,67","5.661,47"
Animexhd.com,167.575,Português,00:04:12,"86,888","0,35","0,34","0,17","0,08","0,04","0,02","59.086,95","57.126,32","27.700,15","13.456,27","7.121,94","3.083,38"
Giganima.net,140.637,Português,00:04:18,"67,687","0,33","0,32","0,18","0,09","0,06","0,03","46.438,34","45.355,43","25.005,26","12.361,99","7.903,80","3.572,18"
Anitube.blog,137.754,Português,00:01:30,"86,605","0,35","0,33","0,17","0,08","0,05","0,02","47.731,76","45.059,33","23.459,51","11.474,91","6.749,95","3.278,55"
Animesfoxbr.com,106.522,Português,00:15:47,"31,374","0,28","0,33","0,19","0,11","0,06","0,03","29.868,77","35.450,52","20.015,48","11.461,77","6.678,93","3.035,88"
Super-animes.net,76.803,Português,00:02:25,"49,787","0,33","0,31","0,19","0,10","0,05","0,02","25.229,79","24.139,18","14.523,45","7.618,86","3.809,43","1.482,30"
Animesaria.com,67.565,Português,00:12:17,"23,447","0,39","0,33","0,14","0,07","0,04","0,02","26.640,88","22.532,93","9.695,58","4.689,01","2.722,87","1.283,74"
Sakuraanimes.com,44.445,Português,00:03:50,"14,519","0,37","0,33","0,15","0,08","0,05","0,02","16.306,87","14.800,19","6.742,31","3.537,82","2.071,14","986,68"
Saikoanimes.net,"463,659",Português,00:05:33,"36,841","0,34","0,33","0,16","0,08","0,05","0,03","157,04","154,86","74,46","39,13","24,76","13,40"
